author,published_at,updated_at,like_count,text
@pehlekhanapeena938,2024-12-05T06:29:42Z,2024-12-05T06:29:42Z,0,We want og oxygen os back
@dakshgoel6616,2024-12-05T05:35:00Z,2024-12-05T05:35:00Z,0,First fix your problem of green display
@andi4601,2024-12-05T04:32:06Z,2024-12-05T04:32:06Z,0,"IDK, Why I am Hating this Design! 😢 It looks like a Mid range Design"
@manibathmanathan4725,2024-12-05T04:21:25Z,2024-12-05T04:21:25Z,1,One plus 7 pro ❤
@phen1811,2024-12-05T04:20:01Z,2024-12-05T04:20:01Z,0,OnePlus 12 camera looks better
@mightyaxis3123,2024-12-05T03:51:24Z,2024-12-05T03:51:24Z,0,New colour variant in global version
@ikunalgautam,2024-12-05T03:17:55Z,2024-12-05T03:17:55Z,0,13R launch date ???
@fordfernandez7462,2024-12-05T03:06:20Z,2024-12-05T03:06:20Z,0,One plus open 2 pls
@Ajay-vj9nx,2024-12-05T02:59:06Z,2024-12-05T02:59:06Z,0,"Mobile mat banao, green light hatao,"
@gabrielmendes809,2024-12-05T02:57:34Z,2024-12-05T02:57:34Z,0,feio demais
@sivam996,2024-12-05T02:39:13Z,2024-12-05T02:39:13Z,0,Design is poor
@Ne0_Vect0r,2024-12-05T00:52:39Z,2024-12-05T00:52:39Z,0,Just fkn release it already
@DigitalDistortion,2024-12-04T22:32:05Z,2024-12-04T22:32:05Z,0,One Plus 9 Pro Front Camera to the side and out of the way and curved screen.
@zaroonbukhari4715,2024-12-04T21:34:06Z,2024-12-04T21:34:06Z,0,Still using 1+ Five 😅
@beniu985,2024-12-04T21:27:31Z,2024-12-04T21:27:31Z,0,A have this model and waiting for Oxygen Os on...;)
@halazadeh,2024-12-04T20:25:53Z,2024-12-04T20:25:53Z,0,Isn&#39;t it out already...? I don&#39;t get it
@usmannaeem,2024-12-04T20:10:57Z,2024-12-04T20:10:57Z,0,It looks 95% like OnePlus12.
@markgutierez9922,2024-12-04T20:00:55Z,2024-12-04T20:01:04Z,0,Im ready
@RuloVaz,2024-12-04T19:39:30Z,2024-12-04T19:39:30Z,0,When in México?
@sanketgaurkhede6699,2024-12-04T19:06:55Z,2024-12-04T19:06:55Z,0,"😢 please solve your software issue, I lost my hard earned 42k because of mother board dead😢"
@PEGASUS-007,2024-12-04T17:48:46Z,2024-12-04T17:48:46Z,0,CAMERA IS NOT ALL GREAT. I&#39;M HIGHLY DISSATISFIED WITH MY ONEPLUS 12 SMARTPHONE!!!
@MegaAnas111,2024-12-04T17:28:52Z,2024-12-04T17:28:52Z,59,I am still using OnePlus 7t for five years and the chapter is close after the 7 series.
@vineetsaini4087,2024-12-04T17:05:44Z,2024-12-04T17:05:44Z,0,Improve your camera 🤳
